,Match Id,Home Team,Away Team,Home Goal HT,Away Goal HT,Home Goal FT,Away Goal FT,Label,Pos_home,P_home,GD_home,Form Score_home,Pos_away,P_away,GD_away,Form Score_away,H2H Home Points,H2H Away Points
228,416148,Newcastle,Liverpool,0,2,0,2,-1,4,71,35,14.9466,5,67,28,20.8266,6,6
229,416149,Man United,Leicester City,1,0,3,0,1,3,75,15,32.3982,18,34,-17,16.8854,3,3
230,416146,Tottenham,West Ham,0,0,2,0,1,8,60,7,17.2195,14,40,-13,13.278,5,5
231,416141,Fulham,Wolverhampton,0,1,1,1,0,10,52,2,13.5268,13,41,-27,7.306,8,2
232,416135,West Ham,Nottingham,0,0,4,0,1,14,40,-13,13.278,16,38,-30,19.6514,12,0
233,416139,Leicester City,Arsenal,0,0,0,1,-1,18,34,-17,16.8854,2,84,45,20.2195,6,3
234,416140,Leeds United,Southampton,0,0,1,0,1,19,31,-30,2.0736,20,25,-37,4.2998,7,7
235,416142,Everton,Aston Villa,0,0,0,2,-1,17,36,-23,21.2054,7,61,5,22.1062,10,4
236,416144,Bournemouth,Man City,0,3,1,4,-1,15,39,-34,3.0,1,89,61,16.5268,6,6
237,416143,Crystal Palace,Liverpool,0,0,0,0,0,11,45,-9,16.5066,5,67,28,20.8266,2,11
238,416136,Tottenham,Chelsea,0,0,2,0,1,8,60,7,17.2195,12,44,-9,8.7398,7,4
239,416324,Arsenal,Everton,2,0,4,0,1,2,84,45,20.2195,17,36,-23,21.2054,9,3
240,416318,Liverpool,Wolverhampton,0,0,2,0,1,5,67,28,20.8266,13,41,-27,7.306,9,6
241,416128,Man City,Newcastle,1,0,2,0,1,1,89,61,16.5268,4,71,35,14.9466,8,5
242,416125,Wolverhampton,Tottenham,0,0,1,0,1,13,41,-27,7.306,8,60,7,17.2195,9,3
243,416130,Chelsea,Leeds United,0,0,1,0,1,12,44,-9,8.7398,19,31,-30,2.0736,6,0
244,416131,Brighton Hove,West Ham,1,0,4,0,1,6,62,19,12.2068,14,40,-13,13.278,4,7
245,416133,Aston Villa,Crystal Palace,1,0,1,0,1,7,61,5,22.1062,11,45,-9,16.5066,12,0
246,416134,Arsenal,Bournemouth,0,1,3,2,1,2,84,45,20.2195,15,39,-34,3.0,6,6
247,416126,Southampton,Leicester City,1,0,1,0,1,20,25,-37,4.2998,18,34,-17,16.8854,6,6
248,416127,Nottingham,Everton,1,2,2,2,0,16,38,-30,19.6514,17,36,-23,21.2054,5,5
